国名,治安指数,衛生指数,国際評価指数,気候指数,地域
アイスランド,68.88278717,61.00756262,60.8190773,30.70176088,ヨーロッパ
アイルランド,65.40761296,59.33038086,61.86564443,43.45437884,ヨーロッパ
アゼルバイジャン,48.41085183,51.41408298,41.63201325,56.89636471,ヨーロッパ
アメリカ合衆国,40.49166696,58.92785724,60.64464945,56.03015407,アメリカ
アラブ首長国連邦,53.7815756,41.08264337,61.34236087,52.90950301,中東・アフリカ
アルジェリア,48.93739337,53.35961382,39.01559542,58.66443871,中東・アフリカ
アルゼンチン,54.70828873,57.85446092,58.72594304,66.65560995,アメリカ
アルバニア,53.7815756,53.96339925,50.52783386,55.91056028,ヨーロッパ
アルメニア,52.07558099,47.3217595,40.93430183,50.45219285,ヨーロッパ
イギリス,57.53055142,58.72659543,61.34236087,44.06978782,ヨーロッパ
イスラエル,26.48566181,52.15204295,58.02823162,62.58849739,中東・アフリカ
イタリア,56.94082489,54.16466106,61.86564443,55.34424538,ヨーロッパ
イラク,31.66683063,37.92954167,34.30604334,52.31157444,中東・アフリカ
インド,44.9988626,29.74489471,39.19002328,50.32911132,アジア・オセアニア
インドネシア,54.32917881,39.87507251,41.98086896,41.01784426,アジア・オセアニア
ウガンダ,45.25160254,36.18527265,40.93430183,52.50753177,中東・アフリカ
ウクライナ,19.61956004,57.51902457,54.36524667,49.3645204,ヨーロッパ
ウズベキスタン,51.38054615,42.62565059,40.06216255,65.73775321,ヨーロッパ
ウルグアイ,54.37130214,55.97601735,56.45838093,58.74963712,アメリカ
エクアドル,40.15468037,57.18358822,45.64385392,47.20689498,アメリカ
エジプト,46.51530226,36.99031989,38.14345615,62.81488704,中東・アフリカ
エストニア,59.11017606,60.605039,61.34236087,40.6131092,ヨーロッパ
エチオピア,35.3315598,48.79767944,36.92246116,62.42640032,中東・アフリカ
エルサルバドル,46.95759716,52.08495568,52.62096812,47.66569208,アメリカ
オーストラリア,60.2475058,60.67212627,61.34236087,58.09084893,アジア・オセアニア
オーストリア,64.69151646,56.84815187,61.69121658,44.99070041,ヨーロッパ
オランダ,60.54236907,57.72028638,61.86564443,47.43644472,ヨーロッパ
ガーナ,51.97027268,39.6738107,41.28315754,46.50365984,中東・アフリカ
ガイアナ,46.68379555,51.95078114,44.9461425,40.03371593,アメリカ
カザフスタン,52.45469091,53.56087563,43.02743609,55.21726563,ヨーロッパ
カタール,58.39407955,42.69273786,48.78355531,57.05736146,中東・アフリカ
カナダ,60.54236907,59.19620632,61.16793301,31.10566671,アメリカ
ガボン,44.80930764,53.49378836,39.36445113,42.14795991,中東・アフリカ
カメルーン,35.43686811,45.17496685,37.62017258,50.83166878,中東・アフリカ
ガンビア,52.87592414,40.07633432,41.4575854,51.3564699,中東・アフリカ
カンボジア,49.4218116,48.99894126,37.96902829,41.84288442,アジア・オセアニア
キプロス,51.23311452,55.10388284,60.29579374,61.20651234,ヨーロッパ
ギリシャ,54.79253537,55.97601735,61.69121658,59.61451468,ヨーロッパ
キルギス,50.07472311,49.53563942,40.06216255,40.58565043,ヨーロッパ
グアテマラ,46.157254,51.07864663,52.44654026,47.96992952,アメリカ
クウェート,57.36205812,43.43069783,46.34156534,49.73164216,中東・アフリカ
クロアチア,59.95264253,54.43301014,61.34236087,54.11118082,ヨーロッパ
ケニア,41.56581172,54.09757379,41.4575854,53.07201911,中東・アフリカ
コートジボワール,48.43191349,47.18758496,39.36445113,45.83572884,中東・アフリカ
コスタリカ,53.12866409,58.99494451,55.06295809,43.27598044,アメリカ
コロンビア,35.18412817,54.43301014,52.09768455,43.57740082,アメリカ
コンゴ民主共和国,22.61031603,24.64626218,36.74803331,47.84668062,中東・アフリカ
サウジアラビア,49.08482501,46.85214861,44.9461425,46.44390081,中東・アフリカ
ザンビア,51.63328609,48.93185399,40.75987397,59.35617337,中東・アフリカ
ジブチ,44.00896449,52.42039203,37.44574473,52.47146531,中東・アフリカ
シンガポール,63.36463176,56.04310462,62.91221156,40.14477777,アジア・オセアニア
ジンバブエ,45.12523257,47.05341042,40.23659041,60.11075169,中東・アフリカ
スイス,64.69151646,58.7936827,61.86564443,42.66884466,ヨーロッパ
スウェーデン,55.95092678,60.13542811,61.69121658,38.25836956,ヨーロッパ
スペイン,58.71000448,57.85446092,61.86564443,58.53345525,ヨーロッパ
スリランカ,48.24235853,51.68243206,36.3991776,41.23912988,アジア・オセアニア
スロバキア,58.05709296,54.56718468,61.51678872,49.49413041,ヨーロッパ
スロベニア,62.26942534,53.49378836,61.51678872,49.91110579,ヨーロッパ
セネガル,51.16992953,48.73059217,39.36445113,52.98179241,中東・アフリカ
セルビア,51.63328609,50.13942485,53.14425168,53.46640726,ヨーロッパ
タイ,49.46393492,50.40777393,43.20186395,43.06132349,アジア・オセアニア
タジキスタン,49.90622982,32.62964733,38.84116757,44.18770803,ヨーロッパ
チェコ,61.72182213,55.17097011,61.34236087,47.64755358,ヨーロッパ
チャド,37.33241768,2.104939395,38.317884,49.60195642,中東・アフリカ
チリ,51.94921102,52.55456658,59.77251017,53.74369634,アメリカ
デンマーク,62.60641193,58.86076997,61.86564443,43.11823137,ヨーロッパ
ドイツ,59.65777927,57.65319911,61.86564443,48.53289196,ヨーロッパ
トーゴ,41.79749,46.24836318,39.53887899,48.27203649,中東・アフリカ
トリニダード・トバゴ,49.40074993,59.59872994,54.88853023,41.29987842,アメリカ
トルクメニスタン,49.4218116,45.91292683,37.62017258,66.63245251,ヨーロッパ
トルコ,31.87744725,53.42670109,48.78355531,58.1965389,中東・アフリカ
ナイジェリア,31.519399,36.78905808,36.92246116,51.45256296,アフリカ
ニカラグア,45.46221916,53.76213744,51.22554528,43.25000593,アメリカ
ニュージーランド,64.9442564,60.73921354,61.51678872,44.90579584,アジア・オセアニア
ネパール,50.09578478,34.97770179,35.52703832,51.15243473,アジア・オセアニア
ノルウェー,57.3199348,59.26329359,61.69121658,35.78275685,ヨーロッパ
バーレーン,47.73687865,42.35730151,44.59728679,48.22857905,中東・アフリカ
パキスタン,33.03583866,14.2477353,34.65489905,55.86737067,アジア・オセアニア
パナマ,49.6956132,56.91523914,55.06295809,40.87787474,アメリカ
パラグアイ,50.22215475,53.02417747,54.53967452,52.74820361,アメリカ
ハンガリー,60.35281411,55.03679557,61.51678872,55.35578624,ヨーロッパ
バングラデシュ,43.12437469,11.36298268,35.87589403,44.3715139,アジア・オセアニア
フィリピン,46.70485721,53.76213744,40.41101826,40.97990987,アジア・オセアニア
フィンランド,62.03774706,60.20251538,61.86564443,41.35098255,ヨーロッパ
ブラジル,39.88087877,53.69505017,58.72594304,47.79838671,アメリカ
フランス,50.51701801,58.25698454,61.86564443,50.92497985,ヨーロッパ
ブルガリア,58.0360313,55.37223192,60.47022159,54.5801456,ヨーロッパ
ブルンジ,37.73258925,36.65488354,37.96902829,56.24507886,中東・アフリカ
ベトナム,55.69818683,44.43700688,37.96902829,45.00166197,アジア・オセアニア
ペルー,48.28448185,52.21913022,54.01639096,56.29855251,アメリカ
ベルギー,60.5213074,57.72028638,61.86564443,48.51182964,ヨーロッパ
ポーランド,55.86668013,53.76213744,61.51678872,46.9751895,ヨーロッパ
ボスニア・ヘルツェゴビナ,52.03345767,46.71797407,50.70226171,50.65273472,ヨーロッパ
ボリビア,49.71667486,56.98232641,42.85300824,61.96486188,アメリカ
ポルトガル,63.06976849,59.12911905,61.69121658,57.52875936,ヨーロッパ
ホンジュラス,42.5135865,53.49378836,51.9232567,46.37035434,アメリカ
マダガスカル,52.03345767,49.93816304,39.36445113,51.2107855,中東・アフリカ
マレーシア,61.00572563,51.41408298,60.8190773,41.16725951,アジア・オセアニア
ミャンマー,27.81254651,46.78506134,37.09688902,47.22353986,アジア・オセアニア
メキシコ,36.42676622,52.01786841,56.63280878,59.61421203,アメリカ
モザンビーク,44.07214948,52.48747931,39.8877347,51.15213208,中東・アフリカ
モルドバ,51.54903944,53.82922471,50.353406,54.40909754,ヨーロッパ
モンゴル,55.74031016,46.51671226,40.58544612,48.00175698,アジア・オセアニア
モンテネグロ,56.45640666,51.61534479,51.57440099,50.58379752,ヨーロッパ
ラオス,54.3923638,45.24205412,37.27131687,45.9827814,アジア・オセアニア
ラトビア,59.13123772,57.51902457,61.16793301,41.72582673,ヨーロッパ
リトアニア,59.13123772,56.91523914,60.99350516,43.01219784,ヨーロッパ
リビア,39.75450879,48.73059217,36.05032189,55.78415128,中東・アフリカ
ルーマニア,55.69818683,53.42670109,60.47022159,52.28757868,ヨーロッパ
ルワンダ,49.06376334,36.31944719,40.75987397,56.32395654,中東・アフリカ
ロシア連邦,19.47212841,57.11650095,49.13241102,31.51961097,ヨーロッパ
韓国,55.38226191,52.28621749,62.388928,56.23528956,アジア・オセアニア
中国,47.86324862,42.89399967,43.55071966,49.72633946,アジア・オセアニア
南アフリカ,42.5135865,51.07864663,46.8648489,66.09131471,中東・アフリカ
日本,61.61651382,57.92154819,62.21450014,51.53315182,アジア・オセアニア
